"u_plus","y_plus","Points:0","Points:1","Points:2"
22.919,762.49,900,21.615,0
22.919,763.43,900,21.641,0
22.919,764.36,900,21.668,0
22.918,765.3,900,21.694,0
22.918,766.23,900,21.721,0
22.918,767.16,900,21.747,0
22.918,768.1,900,21.774,0
22.917,769.03,900,21.8,0
22.917,769.97,900,21.827,0
22.917,770.9,900,21.853,0
22.917,771.84,900,21.88,0
22.917,772.77,900,21.906,0
22.916,773.7,900,21.933,0
22.916,774.64,900,21.959,0
22.916,775.57,900,21.986,0
22.916,776.51,900,22.012,0
22.915,777.44,900,22.039,0
22.915,778.38,900,22.065,0
22.915,779.31,900,22.092,0
22.915,780.24,900,22.118,0
22.915,781.18,900,22.145,0
22.914,782.11,900,22.171,0
22.914,783.05,900,22.197,0
22.914,783.98,900,22.224,0
22.914,784.92,900,22.25,0
