"RUU","RUV","RUW","RVV","RVW","RWW","TKE","y_plus","Points:0","Points:1","Points:2"
0.0048047,-0.0014554,-2.4702e-05,0.0020443,-3.899e-06,0.0028537,0.0048514,188.85,900,5.3534,0
0.0047926,-0.0014525,-2.4838e-05,0.0020399,-3.3576e-06,0.0028466,0.0048395,189.78,900,5.3799,0
0.0047805,-0.0014496,-2.4974e-05,0.0020354,-2.8161e-06,0.0028394,0.0048277,190.72,900,5.4064,0
0.0047684,-0.0014467,-2.511e-05,0.0020309,-2.2747e-06,0.0028323,0.0048158,191.65,900,5.4329,0
0.0047568,-0.0014438,-2.522e-05,0.0020263,-1.768e-06,0.0028254,0.0048043,192.59,900,5.4594,0
0.0047456,-0.0014409,-2.5316e-05,0.0020216,-1.2805e-06,0.0028187,0.0047929,193.52,900,5.4858,0
0.0047343,-0.0014379,-2.5412e-05,0.0020169,-7.9299e-07,0.0028119,0.0047816,194.45,900,5.5123,0
0.0047231,-0.001435,-2.5508e-05,0.0020122,-3.0549e-07,0.0028052,0.0047703,195.39,900,5.5388,0
0.0047115,-0.0014321,-2.5599e-05,0.0020075,1.4602e-07,0.0027985,0.0047587,196.32,900,5.5653,0
0.0046987,-0.001429,-2.5677e-05,0.0020026,4.9708e-07,0.002792,0.0047467,197.26,900,5.5918,0
0.004686,-0.001426,-2.5754e-05,0.0019977,8.4814e-07,0.0027855,0.0047346,198.19,900,5.6183,0
0.0046732,-0.0014229,-2.5832e-05,0.0019928,1.1992e-06,0.0027789,0.0047225,199.13,900,5.6448,0
0.0046605,-0.0014198,-2.591e-05,0.001988,1.5503e-06,0.0027724,0.0047104,200.06,900,5.6712,0
0.004647,-0.0014165,-2.5922e-05,0.001983,1.7809e-06,0.0027656,0.0046978,200.99,900,5.6977,0
0.0046334,-0.0014132,-2.5918e-05,0.001978,1.9818e-06,0.0027587,0.004685,201.93,900,5.7242,0
0.0046198,-0.0014098,-2.5914e-05,0.001973,2.1827e-06,0.0027518,0.0046723,202.86,900,5.7507,0
0.0046062,-0.0014064,-2.5909e-05,0.001968,2.3835e-06,0.0027448,0.0046595,203.8,900,5.7772,0
0.0045924,-0.001403,-2.5882e-05,0.001963,2.5491e-06,0.0027378,0.0046466,204.73,900,5.8037,0
0.0045782,-0.0013992,-2.5788e-05,0.0019579,2.613e-06,0.0027306,0.0046333,205.67,900,5.8301,0
0.004564,-0.0013954,-2.5694e-05,0.0019528,2.677e-06,0.0027233,0.00462,206.6,900,5.8566,0
0.0045498,-0.0013917,-2.56e-05,0.0019477,2.741e-06,0.002716,0.0046067,207.53,900,5.8831,0
0.0045355,-0.0013879,-2.5506e-05,0.0019426,2.8049e-06,0.0027087,0.0045934,208.47,900,5.9096,0
0.0045205,-0.001384,-2.545e-05,0.0019375,2.8286e-06,0.0027013,0.0045797,209.4,900,5.9361,0
0.0045051,-0.0013799,-2.5417e-05,0.0019323,2.8288e-06,0.002694,0.0045657,210.34,900,5.9626,0
